,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
1828,Meine Metzgerei / Aldi Suppenfleisch,3.59,100 Gramm,Packung 500 Gramm,aldi-nord,0.718
1829,Meine Metzgerei / Aldi Rinder Beinscheibe,4.49,100 Gramm,Packung 700 Gramm,aldi-nord,0.641
1830,All Seasons Pfifferlinge,3.49,100 Gramm,Beutel 300 Gramm,aldi-nord,1.16
1831,All Seasons Steinpilze,3.49,100 Gramm,Beutel 300 Gramm,aldi-nord,1.16
1832,All Seasons Feine Pilzmischung,3.49,100 Gramm,Beutel 600 Gramm,aldi-nord,0.5820000000000001
1833,Tamara Konfitüre extra Himbeer,0.99,100 Gramm,Glas 450 Gramm,aldi-nord,0.22
1834,Beef Burger vom Rind,2.99,100 Gramm,Packung 500 Gramm,aldi-nord,0.5980000000000001
1835,Chicken Burger aus Hähnchenbrustfilet,2.99,100 Gramm,Packung 500 Gramm,aldi-nord,0.5980000000000001
1836,Delikato Feine Sauce Bearnaise,0.79,100 ml,Getränkekarton 300 ML,aldi-nord,0.26
1837,Chateau Aldi Nord Chocisserie Nusspralinen,1.99,100 Gramm,Packung 192 Gramm,aldi-nord,1.04
1838,Delikato Tomatenmark 3-fach konzentriert,0.49,100 Gramm,Tube 200 Gramm,aldi-nord,0.25
1839,Hofburger / Aldi Nord Käse Snack in Würfeln 2 x 110 g Der Leichte mit Gouda und Edamer,1.99,100 Gramm,Packung 220 Gramm,aldi-nord,0.9
1840,Delikato Yoghurt Dressing,0.69,100 ml,Dosierflasche 250 ML,aldi-nord,0.28
